Vote_Code,Entity_Name,Levy_Type,Dimension,Transaction_Category,Project_or_Specific_Issue,Metric,Value_Ksh,Legal_Compliance,Risk_Factor,Page_Ref,Finding_Summary
N/A,KRA,Fuel Levy (RMLF),Budget Performance,Remittance,Road Maintenance Levy Commission,Target_Budget,2395588000,Not stated,CRITICAL,70,KRA set an initial approved budget of 2.39B for Road Maintenance Levy commissions.
N/A,KRA,Fuel Levy (RMLF),Budget Performance,Remittance,Road Maintenance Levy Commission,Actual_Collected,2350609000,Not stated,CRITICAL,70,Actual comparable collected commission for the Road Maintenance Levy was 2.35B.
N/A,KRA,Fuel Levy (RMLF),Budget Performance,Remittance,Road Maintenance Levy Commission,Variance,44978000,Not stated,CRITICAL,70,KRA recorded a performance difference (shortfall) of 44.9M against the budget for RMLF commissions.
N/A,KRA,Fuel Levy (RMLF),Revenue Collection,Remittance,Road Maintenance Levy Commission Income,Actual_Collected,2393240000,Not stated,CRITICAL,80,RMLF commission income rose significantly due to the review of the RML rate from Kshs 18 to Kshs 25 per litre of fuel.
N/A,KRA,Affordable Housing,Budget Performance,Remittance,National Housing Development Levy Commission,Target_Budget,357106000,Not stated,HIGH,70,KRA set an approved budget of 357.1M for Housing Levy commissions.
N/A,KRA,Affordable Housing,Budget Performance,Remittance,National Housing Development Levy Commission,Actual_Collected,425038000,Not stated,HIGH,70,Actual comparable collected commission for the Housing Levy outperformed targets at 425M.
N/A,KRA,Affordable Housing,Budget Performance,Remittance,National Housing Development Levy Commission,Variance,70932000,Not stated,HIGH,70,Housing Levy commission collections exceeded the comparative performance baseline by 70.9M.
N/A,KRA,Affordable Housing,Revenue Collection,Remittance,National Housing Development Levy Commission Income,Actual_Collected,397219000,Not stated,HIGH,80,Housing Levy commission recognized as income was 397.2M; a drop attributed to the reduction of the commission rate from 2% to 0.5%.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Exchequer Revenue Collection,Target_Revenue,2347000000000,Not stated,CRITICAL,37,KRA was targeted to remit 2.347 Trillion to the Exchequer for national distribution.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Exchequer Revenue Collection,Actual_Collected,2323000000000,Not stated,CRITICAL,37,KRA actually remitted 2.323 Trillion to the Exchequer representing a 99% performance rate.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Exchequer Revenue Collection,Variance,24000000000,Not stated,CRITICAL,37,KRA missed its overarching Exchequer remittance target by 24 Billion.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Agency Revenue Collection,Target_Revenue,207800000000,Not stated,CRITICAL,37,The target for Agency Revenue (funds collected on behalf of other entities) was 207.8 Billion.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Agency Revenue Collection,Actual_Collected,248300000000,Not stated,CRITICAL,37,KRA significantly overperformed on Agency Revenue collections netting 248.3 Billion.
N/A,KRA,Multi-Levy,Revenue Collection,Remittance,Agency Revenue Collection,Variance,40500000000,Not stated,CRITICAL,37,KRA exceeded its target for Agency Revenues by 40.5 Billion.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Total,Loss,120278879,Public Audit Act 2015,CRITICAL,58,The Auditor-General flagged 23.7 million lost excise stamps at the Times Tower vault leading to a potential revenue loss of 120.2M.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Water,Loss,95826500,Public Audit Act 2015,CRITICAL,58,The majority of the lost excise stamps were for water resulting in an estimated 95.8M loss.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Alcohol Spirits,Loss,11512244,Public Audit Act 2015,CRITICAL,58,Lost stamps for alcohol spirits resulted in a potential revenue loss of 11.5M.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Alcohol Wine (2011013),Loss,8989740,Public Audit Act 2015,CRITICAL,58,Lost stamps for alcohol wine (code 2011013) resulted in an 8.9M revenue loss.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Alcohol Wine (2011014),Loss,2247435,Public Audit Act 2015,CRITICAL,58,Additional lost stamps for alcohol wine (code 2011014) resulted in a 2.2M loss.
N/A,KRA,Multi-Levy,Recommendation Follow-Up,Audit Finding,Loss of Excise Stamps - Soft Drinks,Loss,1702960,Public Audit Act 2015,CRITICAL,58,Lost stamps for soft drinks contributed 1.7M to the total potential revenue loss.
